StationID,B,Bw,Bh,G,Gw,Gh,S,Sw,Sh
500201001,1445,723,722,15625,10888,4737,196,184,12
500201002,2492,1372,1120,14774,10423,4351,0,0,0
500201003,3679,2380,1299,13568,9396,4172,19,19,0
500201004,3511,2329,1182,13752,9463,4289,3,3,0
500201005,3450,2314,1136,13729,9464,4265,87,17,70
500201006,2436,1278,1158,14674,10451,4223,156,66,90
500201007,2777,1845,932,14433,9937,4496,56,13,43
500201008,2362,1020,1342,14777,10648,4129,126,126,0
500201009,5705,3468,2237,11516,8282,3234,44,44,0
500201010,1553,801,752,15633,10914,4719,79,79,0
500201011,1950,852,1098,15247,10931,4316,68,11,57
500201012,6771,4541,2230,10494,7253,3241,0,0,0
500201013,3938,2672,1266,13147,9109,4038,180,13,167
500201014,3153,2100,1053,14112,9694,4418,0,0,0
500202001,10003,6811,3192,7263,4984,2279,8991,5968,3023
500202002,4225,2687,1538,11872,8260,3612,1168,847,321
500202003,8520,5605,2915,8745,6189,2556,0,0,0
500202004,4043,2250,1793,12367,9089,3278,855,455,400
500203001,3919,2872,1047,13050,8718,4332,297,205,92
500203002,4835,3396,1439,12225,8193,4032,206,206,0
500203003,5174,4531,643,12008,7257,4751,84,7,77
500203004,3011,1995,1016,13875,9498,4377,380,302,78
500203005,2229,1537,692,14808,10197,4611,229,61,168
500203006,2475,1867,608,14533,9776,4757,258,152,106
500203007,2683,1709,974,14583,10086,4497,0,0,0
500203008,2546,1927,619,14680,9864,4816,40,4,36
500203009,3190,2818,372,13395,8640,4755,681,337,344
500203010,2636,2198,438,14630,9597,5033,0,0,0
500203011,3047,2364,683,13913,9218,4695,306,213,93
500203012,3421,2630,791,13774,9094,4680,71,71,0
500203013,3559,2821,738,13703,8970,4733,4,4,0
500203014,5298,4009,1289,11691,7577,4114,277,209,68
500203015,4907,3597,1310,12359,8198,4161,0,0,0
500203016,1277,950,327,15930,10805,5125,59,40,19
500203017,3164,2688,476,14072,9081,4991,30,26,4
500203018,4598,3609,989,12649,8167,4482,19,19,0
500203019,5194,4052,1142,11791,7670,4121,281,73,208
500203020,2745,1791,954,14298,9874,4424,223,130,93
500203021,3212,1902,1310,14054,9893,4161,0,0,0
500203022,7004,5496,1508,10262,6299,3963,0,0,0
500203023,4492,3795,697,12689,7993,4696,85,7,78
500203024,8912,7330,1582,8354,4465,3889,0,0,0
500203025,4884,3464,1420,12361,8310,4051,21,21,0
500203026,3817,2906,911,13440,8880,4560,9,9,0
500203027,4568,3772,796,12372,7815,4557,326,208,118
500203028,3929,3056,873,13210,8668,4542,127,71,56
500203029,3252,2578,674,13888,9136,4752,126,81,45
500203030,2693,2140,553,14424,9553,4871,149,102,47
500203031,2353,1871,482,14418,9429,4989,495,495,0
500203032,3522,2653,869,13739,9137,4602,5,5,0
500203033,4072,3175,897,13079,8550,4529,115,70,45
500203034,5169,3804,1365,11475,7571,3904,622,420,202
500203035,3995,3071,924,13259,8721,4538,12,3,9
500203036,3542,2796,746,13591,8897,4694,133,102,31
500203037,2751,2082,669,14404,9691,4713,111,22,89
500203038,2902,2259,643,14197,9430,4767,167,106,61
500203039,4384,3419,965,12649,8207,4442,233,169,64
500203040,2393,1988,405,14778,9760,5018,95,47,48
500203041,3402,2872,530,13724,8852,4872,140,71,69
500203042,6001,4933,1068,11051,6713,4338,214,149,65
500203043,3930,2901,1029,13323,8881,4442,13,13,0
500203044,17266,11795,5471,0,0,0,17266,11795,5471
500203045,5945,4964,981,10961,6471,4490,360,360,0
500203046,4276,3434,842,12974,8345,4629,16,16,0
500203047,5041,3730,1311,12134,8009,4125,91,56,35
500203048,5296,3677,1619,11832,8058,3774,138,60,78
500203049,3766,3083,683,13273,8574,4699,227,138,89
500203050,3997,3139,858,13099,8551,4548,170,105,65
500203051,2250,1836,414,14801,9810,4991,215,149,66
500203052,2157,1639,518,15084,10144,4940,25,12,13
500203053,3184,2271,913,14069,9511,4558,13,13,0
500203054,3083,2327,756,13973,9263,4710,210,205,5
500203055,1743,1306,437,15523,10489,5034,0,0,0
500203056,4170,3838,332,13096,7957,5139,0,0,0
500203057,5383,4154,1229,11835,7609,4226,48,32,16
500203058,4046,3010,1036,13178,8743,4435,42,42,0
500203059,3215,2501,714,14043,9286,4757,8,8,0
500203060,4079,3233,846,12734,8242,4492,453,320,133
500203061,2254,1472,782,15012,10323,4689,0,0,0
500203062,2942,2505,437,14071,9097,4974,253,193,60
500203063,2187,1787,400,14764,9790,4974,315,218,97
500203064,2502,2011,491,14743,9774,4969,21,10,11
500203065,276,193,83,16937,11591,5346,53,11,42
500203066,2363,2042,321,14885,9753,5132,18,0,18
500203067,3656,2809,847,13521,8916,4605,89,70,19
