StationID,B,Bw,Bh,G,Gw,Gh,S,Sw,Sh
500201001,1389,641,748,7496,5394,2102,26,0,26
500201002,689,357,332,8222,5678,2544,0,0,0
500201003,1203,602,601,7708,5433,2275,0,0,0
500201004,2113,1690,423,6798,4345,2453,0,0,0
500201005,1523,627,896,7272,5346,1926,116,62,54
500201006,781,298,483,8130,5737,2393,0,0,0
500201007,2153,1262,891,6746,4773,1973,12,0,12
500201008,3984,3058,926,4927,2977,1950,0,0,0
500201009,1710,1153,557,7201,4882,2319,0,0,0
500201010,737,306,431,8147,5729,2418,27,0,27
500201011,2925,2026,899,5986,4009,1977,0,0,0
500201012,530,46,484,8381,5989,2392,0,0,0
500201013,1455,767,688,7419,5264,2155,37,4,33
500201014,2573,1421,1152,6338,4614,1724,0,0,0
500202001,4459,3024,1435,4429,2988,1441,4480,3045,1435
500202002,592,576,16,7992,5132,2860,327,327,0
500202003,2698,2093,605,6213,3942,2271,0,0,0
500202004,340,190,150,8571,5845,2726,0,0,0
500203001,1331,1039,292,7410,4864,2546,170,132,38
500203002,1878,1412,466,6865,4493,2372,168,130,38
500203003,1626,1257,369,7153,4734,2419,132,44,88
500203004,1094,584,510,7592,5310,2282,225,141,84
500203005,952,548,404,7864,5398,2466,95,89,6
500203006,1066,819,247,7788,5180,2608,57,36,21
500203007,852,537,315,8057,5498,2559,2,0,2
500203008,1210,836,374,7667,5183,2484,34,16,18
500203009,1237,1078,159,7274,4793,2481,400,164,236
500203010,990,784,206,7836,5166,2670,85,85,0
500203011,1257,946,311,7515,4994,2521,139,95,44
500203012,1503,1208,295,7408,4827,2581,0,0,0
500203013,680,600,80,8206,5412,2794,25,23,2
500203014,2283,1775,508,6344,4067,2277,284,193,91
500203015,1739,1372,367,7169,4660,2509,3,3,0
500203016,582,394,188,8263,5613,2650,66,28,38
500203017,752,600,152,8105,5381,2724,54,54,0
500203018,1560,1211,349,7310,4783,2527,41,41,0
500203019,2181,1655,526,6485,4243,2242,245,137,108
500203020,1502,1113,389,7338,4899,2439,71,23,48
500203021,1081,847,234,7800,5161,2639,30,27,3
